year,day,month,doy,Baseline,Alternative
IsletaDry,NA,NA,NA,-1,-1
SanAcaciaDry,NA,NA,NA,-1,-1
2023,17,5,137,4127.708333,90.95074171
2023,18,5,138,4142.291667,90.95074171
2023,19,5,139,4174.791667,90.95074171
2023,20,5,140,4181.25,90.95074171
2023,21,5,141,4490,90.95074171
2023,22,5,142,4618.125,90.95074171
2023,23,5,143,4649.166667,90.95074171
2023,24,5,144,4648.020833,90.95074171
2023,25,5,145,4743.645833,90.95074171
2023,26,5,146,4705.520833,90.95074171
2023,27,5,147,4670.416667,90.95074171
2023,28,5,148,4645.520833,90.95074171
2023,29,5,149,4659.583333,90.95074171
2023,30,5,150,4627.5,90.95074171
2023,31,5,151,4628.958333,90.95074171
2023,1,6,152,4578.958333,90.95074171
2023,2,6,153,4749.791667,90.95074171
2023,3,6,154,4347.291667,90.95074171
2023,4,6,155,4233.645833,90.95074171
2023,5,6,156,4227.291667,90.95074171
2023,6,6,157,4238.020833,90.95074171
2023,7,6,158,4249.583333,90.95074171
2023,8,6,159,4252.083333,90.95074171
2023,9,6,160,4204.0625,90.95074171
2023,10,6,161,4199.166667,90.95074171
2023,11,6,162,4167.8125,90.95074171
2023,12,6,163,4172.708333,90.95074171
2023,13,6,164,4143.75,90.95074171
2023,14,6,165,4128.020833,90.95074171
2023,15,6,166,4112.291667,90.95074171
2023,16,6,167,4076.25,90.95074171
2023,17,6,168,4057.916667,90.95074171
2023,18,6,169,4037.1875,90.95074171
2023,19,6,170,4149.166667,90.95074171
2023,20,6,171,4163.229167,90.95074171
2023,21,6,172,4108.229167,90.95074171
2023,22,6,173,4051.666667,90.95074171
2023,23,6,174,4172.291667,90.95074171
2023,24,6,175,4112.604167,90.95074171
2023,25,6,176,4087.083333,90.95074171
2023,26,6,177,4028.4375,90.95074171
2023,27,6,178,3766.770833,90.95074171
2023,28,6,179,3332.1875,90.95074171
2023,29,6,180,2941.041667,90.95074171
2023,30,6,181,2321.770833,90.95074171
2023,1,7,182,1563.854167,90.95074171
2023,2,7,183,1371.354167,90.95074171
2023,3,7,184,1327.916667,90.95074171
2023,4,7,185,1314.479167,90.95074171
2023,5,7,186,1307.604167,90.95074171
2023,6,7,187,1133.020833,90.95074171
2023,7,7,188,889.3541667,90.95074171
2023,8,7,189,755.28125,90.95074171
2023,9,7,190,717.4583333,90.95074171
2023,10,7,191,699.3020833,90.95074171
2023,11,7,192,622.7916667,90.95074171
2023,12,7,193,580.1041667,90.95074171
2023,13,7,194,570.9479167,90.95074171
2023,14,7,195,502.28125,90.95074171
2023,15,7,196,468.125,90.95074171
2023,16,7,197,456.8541667,90.95074171
2023,17,7,198,444.7083333,90.95074171
2023,18,7,199,431.8541667,90.95074171
2023,19,7,200,434.0208333,90.95074171
2023,20,7,201,428.5833333,90.95074171
2023,21,7,202,416.6145833,90.95074171
2023,22,7,203,443.4270833,90.95074171
2023,23,7,204,441.375,90.95074171
2023,24,7,205,439.6354167,90.95074171
2023,25,7,206,443.0104167,90.95074171
2023,26,7,207,439.25,90.95074171
2023,27,7,208,436.6666667,90.95074171
2023,28,7,209,414.75,90.95074171
2023,29,7,210,400.21875,90.95074171
2023,30,7,211,369.15625,90.95074171
2023,31,7,212,353.3854167,90.95074171
2023,1,8,213,343.3125,90.95074171
2023,2,8,214,337.5208333,90.95074171
2023,3,8,215,328.5625,90.95074171
2023,4,8,216,322.3958333,90.95074171
2023,5,8,217,320.9270833,90.95074171
2023,6,8,218,320.0104167,90.95074171
2023,7,8,219,310.3020833,90.95074171
2023,8,8,220,617.1875,90.95074171
2023,9,8,221,490.0104167,90.95074171
2023,10,8,222,479.0625,90.95074171
2023,11,8,223,395.1145833,90.95074171
2023,12,8,224,355.1458333,90.95074171
2023,13,8,225,285.65625,90.95074171
2023,14,8,226,234.5208333,90.95074171
2023,15,8,227,216.2291667,90.95074171
2023,16,8,228,186.90625,90.95074171
2023,17,8,229,159.6979167,90.95074171
2023,18,8,230,151.03125,90.95074171
2023,19,8,231,141.5384615,90.95074171
2023,20,8,232,106.8924528,90.95074171
2023,21,8,233,103.1117647,90.95074171
2023,22,8,234,95.68196721,90.95074171
2023,23,8,235,81.46271186,90.95074171
2023,24,8,236,69.44074074,90.95074171
2023,25,8,237,61.196,90.95074171
2023,26,8,238,94.50121951,90.95074171
2023,27,8,239,79.47407407,90.95074171
2023,28,8,240,78.18813559,90.95074171
2023,29,8,241,78.70625,90.95074171
2023,30,8,242,91.1172043,90.95074171
2023,31,8,243,82.20769231,0
2023,1,9,244,65.88194444,0
2023,2,9,245,61.53066667,0
2023,3,9,246,54.16056338,0
2023,4,9,247,46.51309524,0
2023,5,9,248,45.21923077,0
2023,6,9,249,41.895,0
2023,7,9,250,41.86984127,0
2023,8,9,251,42.71358025,0
2023,9,9,252,40.78965517,0
2023,10,9,253,42.27356322,0
2023,11,9,254,43.34782609,0
2023,12,9,255,50.88414634,0
2023,13,9,256,127.3239583,0
2023,14,9,257,134.92125,0
2023,15,9,258,55.54,0
2023,16,9,259,45.74823529,0
2023,17,9,260,39.97123288,0
2023,18,9,261,55.95,0
2023,19,9,262,53.103125,0
2023,20,9,263,36.66024096,0
2023,21,9,264,50.74150943,0
2023,22,9,265,56.63690476,0
2023,23,9,266,52.58333333,0
2023,24,9,267,52.265625,0
2023,25,9,268,60.009375,0
2023,26,9,269,55.05208333,0
2023,27,9,270,48.08541667,0
2023,28,9,271,45.27916667,0
2023,29,9,272,37.78,0
2023,30,9,273,46.528125,0
2023,1,10,274,50.27804878,0
2023,2,10,275,52.17966102,0
2023,3,10,276,53.60581395,0
2023,4,10,277,51.90104167,0
2023,5,10,278,51.97395833,0
2023,6,10,279,52.36891892,0
2023,7,10,280,50.26363636,0
2023,8,10,281,52.72604167,0
2023,9,10,282,53.565625,0
2023,10,10,283,50.04193548,0
2023,11,10,284,49.86979167,0
2023,12,10,285,48.37395833,0
2023,13,10,286,54.409375,0
2023,14,10,287,63.37291667,0
2023,15,10,288,69.71354167,0
2023,16,10,289,69.390625,0
2023,17,10,290,65.88333333,0
2023,18,10,291,71.25052632,0
2023,19,10,292,76.47604167,0
2023,20,10,293,77.303125,0
2023,21,10,294,74.465625,0
2023,22,10,295,78.459375,0
2023,23,10,296,79.8,0
2023,24,10,297,83.61875,0
2023,25,10,298,84.31875,0
2023,26,10,299,92.93958333,0
2023,27,10,300,107.615625,0
2023,28,10,301,109.225,0
2023,29,10,302,99.578125,0
2023,30,10,303,103.559375,0
2023,31,10,304,116.59375,0
2023,1,11,305,154.9791667,0
2023,2,11,306,162.21875,0
2023,3,11,307,560.6105263,0
2023,4,11,308,968.8854167,0
2023,5,11,309,1033.18,0
2023,6,11,310,1062.604167,0
2023,7,11,311,1081.875,0
2023,8,11,312,1080.9375,0
2023,9,11,313,1102.8125,0
2023,10,11,314,1142.1875,0
2023,11,11,315,1153.229167,0
2023,12,11,316,1154.270833,0
2023,13,11,317,1158.958333,0
2023,14,11,318,1175.208333,0
2023,15,11,319,1222.8125,0
2023,16,11,320,1263.020833,0
2023,17,11,321,1346.65625,0
2023,18,11,322,1587.708333,0
2023,19,11,323,1590.625,0
2023,20,11,324,1642.5,0
2023,21,11,325,1578.125,0
2023,22,11,326,1571.875,0
2023,23,11,327,1578.854167,0
2023,24,11,328,1579.791667,0
2023,25,11,329,1586.5625,0
2023,26,11,330,1584.166667,0
2023,27,11,331,1591.666667,0
2023,28,11,332,1745,0
2023,29,11,333,1773.020833,0
2023,30,11,334,1851.666667,0
2023,1,12,335,1836.5625,0
2023,2,12,336,1807.8125,0
2023,3,12,337,1801.875,0
2023,4,12,338,1805.208333,0
2023,5,12,339,1919.895833,0
2023,6,12,340,2002.631579,0
2023,7,12,341,2016.041667,0
2023,8,12,342,2046.145833,0
2023,9,12,343,2037.291667,0
2023,10,12,344,2032.291667,0
2023,11,12,345,2028.229167,0
2023,12,12,346,2031.145833,0
2023,13,12,347,2032.291667,0
2023,14,12,348,2196.145833,0
2023,15,12,349,2012.291667,0
2023,16,12,350,2016.666667,0
2023,17,12,351,2037.395833,0
2023,18,12,352,2019.791667,0
2023,19,12,353,2063.541667,0
2023,20,12,354,2059.895833,0
2023,21,12,355,2001.458333,0
2023,22,12,356,772.8125,0
2023,23,12,357,651.4166667,0
2023,24,12,358,582.65625,0
2023,25,12,359,531.15625,0
2023,26,12,360,513.71875,0
2023,27,12,361,571.9791667,0
2023,28,12,362,555.875,0
2023,29,12,363,545.2291667,0
2023,30,12,364,519.7708333,0
2023,31,12,365,521.5729167,0
